PH,Temp,Turbidity,TSS,BOD5,COD,DO,Amoni,Phosphat,Coliforms,WQI
7.5,28,48.08,18.62,11.06,16.4,7.7,0.56,0.01,7300,73.42
7.6,28.4,46.07,24.32,5.88,11.2,6.88,1.12,0.01,24000,19.55
7.5,28.1,70.11,40.6,22.04,32.4,3.56,0.84,0.01,11000,16.13
7.9,27.5,72.12,47.76,51.16,112.8,0.01,27.89,2.49,1700000,6.77
7.6,28.3,48.08,58.46,59.36,116,0.64,7.95,0.32,1640000,9.13
7.6,27,35,167.78,17.68,27.2,6.72,0.56,0.01,780,62.56
7.7,26.8,38,69.35,8.48,16.4,6.08,0.58,0.01,1200,77.02
7.2,26.9,57,147.08,7.82,18,2.56,0.3,0.02,2700,68.69
7.3,26.5,56,87.53,4.2,8,0.96,0.2,0.03,8900,56.09
7.2,27.2,85,72.69,7.28,11.2,6.08,1.12,0.03,100000,0.17
7.2,28,82,62.63,11.04,17.2,1.92,0.28,0.01,19000,16.8
7.1,26.5,78,193.68,9.52,13.6,5.12,7.14,0.01,450000,14.67
7.3,26.8,95,186.58,34.94,83.2,0.01,35.84,2.18,2000000,7.15
6.1,26.9,110,174.08,24.26,61.6,0.01,10.36,1.08,450000,2.38
7.9,28,71.3,128,7.84,11.2,7,1.12,0.01,2600,57.31
7.8,27,52.1,127.1,6.94,9.9,7.48,0.84,0.09,11700,79.72
7.6,27,50.6,130.1,8.11,12.5,6.68,1.12,0.3,11700,64.89
6.6,27,81.3,142.7,7.8,12,5.12,0.67,0.45,54000,59.77
6.5,27,75.5,133.2,7.28,11.2,4.64,0.67,0.4,14100,14.52
7,27,94.8,125.3,8.16,12,4.64,1.4,0.01,24000,15.1
7.2,27,99.6,121.5,13.21,20.3,3.68,2.24,0.02,18400,14.24
6.2,27,109.2,173.8,17.16,36.4,0.01,16.8,1.14,4300000,2.81
6.3,27,140.4,160.3,17.16,36.6,0.01,19.04,1,1000000,2.81
7,27,14.14,34.18,8.4,12,5.36,0.56,0.01,900,74.31
7.5,27.2,13.07,22.39,6.24,9.6,4.2,1.12,0.01,780,76.07
6.7,27.6,17.24,24.09,7.84,21.2,2.24,0.56,0.01,620,82.53
7.2,28,74.82,53.74,4.8,8,6.56,0.45,0.01,2800,85.72
7.1,27.5,59.53,31.43,6.72,9.6,4.64,0.5,0.01,8100,66.29
7.4,27.6,20.21,60.36,9.52,23.6,1.92,1.57,0.02,1320,73.7
6.9,27,49.17,34.86,9.52,13.6,1.76,1.4,0.02,1450,79.44
7,27,147.51,56.95,28.16,51.2,0.01,13.24,1.28,420000,6.92
7.2,28,166.01,68.59,29.95,57.6,0.01,12.56,1.28,350000,6.4
7.13,27,71.3,98,14.32,33.6,6.56,0.39,0.12,1300,55.19
7.03,28,52.1,127.1,12.14,21.6,5.89,0.56,0.1,540,75.65
7.28,27.5,50.6,130.1,14.64,28.8,5.12,0.5,0.14,1800,66.41
7.08,27.5,81.3,142.7,24.7,50.4,4.77,0.56,0.18,690,62.23
7.35,27.5,75.5,133.2,88.26,172.8,5.28,1.68,0.2,2200,0.55
7.04,27.3,94.8,125.3,35.66,74.4,5.76,1.23,0.3,2500,55.3
7.11,28,99.6,121.5,23.48,48,4.8,0.9,0.55,3100,54.79
7.18,27.5,109.2,173.8,65.32,110.4,4.48,30.24,0.46,7500,9.67
7.46,27.3,140.4,160.3,74.84,163.2,2.56,9.8,1.58,6800,8.77
6.78,27,60.34,57.91,6.26,14.4,7.52,0.84,0.43,230,56.32
7.11,28,58.12,48.96,10.02,21.6,7.48,0.78,0.06,790,76.9
7.22,27.5,102.04,41.79,13.48,33.6,7.04,0.67,0.35,900,55.89
7.09,27.5,28.56,45.97,14.24,33.6,7.68,0.5,0.15,6300,68.55
7.11,27.5,58.24,38.81,7.42,16.8,7.2,0.84,0.02,2000,85.12
7.24,27.3,60.34,77.61,9.6,21.6,5.6,0.39,0.38,4900,67.7
7.01,28,88.12,88.96,7.32,14.4,4,1.01,0.07,14000,16.21
6.88,27.5,102.04,75.52,15.36,38.4,2.08,0.62,0.32,6800,35.81
7.16,27.3,123,191.04,10.48,21.6,0.64,3.53,0.39,19000,3.28
7.17,27.2,45,74,4.2,9.6,5.2,1.568,0.35,1400,60.17
7.06,27.5,65,59,21.47,52.8,5.52,2.52,0.08,780,67.25
7.21,28,62,77,14.36,38.4,5.12,1.68,0.43,6300,54.83
7.07,28,65,86,25.08,67.2,4.96,2.632,0.25,13000,13.3
7.01,28,90,91,34.12,86.4,5.32,2.8,0.17,11000,13.33
7.12,28,65,62,23.56,48,5.12,2.24,0.18,45000,14.69
7.22,28,64,78,8.44,19.2,1.44,1.96,1.04,23000,13.45
7.23,27.5,95,99,13.28,33.6,0.48,2.52,1.2,9500,37.41
7.1,27.3,99,107,63.38,163.2,0.01,27.44,0.89,430000,6.51
7.28,27,45.38,164,5.24,14.4,5.5,0.78,0.47,605,57.86
7.14,27,43.6,110,8.16,21.1,5.76,1.02,0.12,700,74.21
7.25,27,26.96,75,4.88,13.4,6.72,0.34,0.32,820,76.4
7.08,27.3,49.43,230,14.72,38.4,4.13,1.53,0.23,110,61.68
7.16,27.3,74.84,63,10.64,28.8,5.92,0.56,0.15,7500,61.54
7.2,27.6,73.56,170,11.06,31.7,0.96,0.87,0.31,23000,12.43
7.13,27,84.55,110,4.86,13.9,2.24,1.36,0.11,63000,14.82
7.22,27,170,179,10.95,33.6,0.54,1.4,0.16,17000,3.51
7.18,27,210,160,6.85,19.2,0.9,2.4,0.18,95000,3.63
7.2,27,78,89,9.8,28.8,8.5,2.78,0.03,800,52.56
7.08,27,80,74,8.87,22.4,7.5,1.12,0.08,750,76.2
7.16,27,170,100,3.45,21.5,7.7,2.08,0.07,850,46.34
7.18,27,92,110,6.89,24.8,6.8,2.52,0.36,900,66.14
7.32,27,110,157,6.2,22.3,6,2.24,0.29,1520,0.18
7.16,27,190,142,6.21,25.2,7.85,2.01,0.29,1500,18.25
7.09,27,81,101,11.2,20.8,5.8,0.7,0.44,16400,14.01
7.02,27,130,126,15.1,57.6,3.9,1.2,0.27,97000,3.42
7.24,27,640,121,25.62,51.2,2.24,1.4,0.23,150000,3.25
7.18,27.2,81,95,8.18,18,6.4,0.21,0.23,550,53.24
7.22,27.3,70,78,10.24,22,6.05,0.28,0.17,650,76.38
7.21,27,70,110,12.48,24.8,6.56,0.28,0.22,765,66.31
7.2,27.4,75,112,13.64,20,6.88,0.38,0.18,1500,71.42
7.16,27.5,90,113,14.72,29.6,5.82,0.34,0.22,1600,67.92
7.21,27.5,91,125,9.8,22,5.98,0.56,0.24,1570,68.46
7.13,27.5,100,124,12.41,26,4.78,0.42,0.22,2500,18.19
7.06,27.5,140,130,11.08,36.8,1.12,3.44,0.21,35000,3.34
7.19,27.5,330,135,28.09,79.2,1.2,4.06,0.17,42000,2.83
6.9,28,10.8,923.58,7.3,20,4.8,1.23,0.432,690,66.7
6.9,28,13.92,894.93,7.8,20.8,5.92,0.34,0.138,1700,77.18
7,28,11.06,811.94,24.6,56,5.12,0.84,0.176,1300,59.54
7,28,20.12,702.69,5.9,15.2,7.04,1.4,0.207,920,70.49
7,27,22.08,760.6,8.2,23.2,6.88,1.06,0.182,1400,69.56
6.8,28.2,34.16,950.45,16.8,45.6,4.96,5.32,0.249,4300,55.29
6.6,27,68.88,1247.76,36.2,96,1.76,8.4,0.421,3300,41.71
6.9,28,50.14,1116.42,21.5,46.72,3.52,5.88,0.097,5400,53.22
6.9,28,44.06,1217.91,10.1,28.6,1.6,3.08,0.342,4500,54.36
7.54,28,10.8,39,5.8,14.4,6.9,0.84,0.9,810,71.06
7.45,28,13.92,35,6.2,14.8,6.86,0.73,0.41,1300,74.1
7.2,28,11.06,60,6.8,16.4,6.54,0.73,0.23,1400,74.9
7.1,28,20.12,99,5.9,14.4,6.42,0.73,0.42,1100,73.68
7,27,22.08,98,4.2,9.6,6.23,0.78,0.09,1900,64.52
7.1,27.9,34.16,103,11.4,28.8,6.4,0.62,1.07,27000,13.95
7.1,27,68.88,180,5.8,14.4,6.11,0.73,0.78,34000,14.44
6.9,28,50.14,230,8.4,21.6,2.56,0.56,1.07,33000,13.39
6.2,27.6,44.06,203,15.2,38.4,1.5,6.38,0.18,42000,12.01
7.2,28,24.8,100,7.8,17.6,5.6,5.26,0.021,2100,65.2
7.3,28,25.56,112,10.6,24,5.92,3.19,0.023,1400,73.08
7,28,18.4,113,7.2,16,7.2,1.85,0.016,9200,49.55
7,28,20.32,115,7.8,17.6,6.3,4.31,0.017,3400,67.42
7,27,17.26,120,8.5,19.2,6.88,3.3,0.018,1600,70.44
6.9,28.6,49.78,110,9.2,20.8,4.96,4.14,0.009,24000,14.51
6.6,28.4,27.84,100,17.8,40,2.7,4.48,0.011,81000,14.06
6.5,28,17.5,132,28.2,62.4,2.12,3.68,0.02,41000,12.14
6.5,28.3,22.5,140,28.9,64,1.7,20.08,0.038,43000,11.8
6.6,28.6,30.16,100,4.6,10.4,5.96,1.06,0.04,1700,66.78
6.5,28,17.1,100,8.8,19.2,5.16,1.12,0.14,1600,73.38
6.5,28,13.08,103,7.9,16,3.68,0.9,0.23,1400,66.19
6.5,28,5.38,115,6.4,13.6,2.88,1.23,0.2,4500,61.87
6.9,27,52.88,120,13.7,29.2,5.44,0.84,0.14,2100,67.04
7,28.1,39.78,110,16.5,48,7.04,1.06,0.47,2800,60.64
7.1,27.5,54.26,100,29.8,60,4.96,1.34,0.62,8100,43.38
7.7,27.6,78.72,132,13.1,28.8,3.12,0.67,0.52,54000,12.96
7.8,27.9,162.4,140,15.3,42,1.64,0.9,0.58,29000,3.21
7.1,27.5,37.08,99,6.8,16,6.5,0.9,0.153,1300,63.11
7.2,27.6,31.7,95,13.4,32,6.34,0.73,0.094,1400,74.29
6.9,27.3,44.16,98,9.2,22.4,6.2,0.9,0.208,9800,43.91
7,27.5,46.64,85,11.6,28.8,6.12,1.06,0.164,2400,73.67
6.8,27.5,57.04,97,11.2,27.2,6.1,0.73,0.107,2900,73.97
6.9,27.4,70.4,112,15.7,35.2,5.7,0.62,0.216,16000,14.14
7,27.8,88.76,113,17.2,40,4.9,1.01,0.302,43000,13.05
6.5,27.6,88.94,125,24.8,56,3.4,0.62,0.561,21000,11.72
6.4,27.6,98.78,205,27.4,64,2.3,0.73,0.492,23000,11.07
7.1,27.6,58,118,10.8,28.8,7,0.62,0.23,1100,57.34
7,27.5,60,111,8.4,21.6,6.9,0.73,0.17,1600,76.14
6.8,27.9,75,125,11.5,31.2,6.8,0.9,0.22,1100,64.13
6.8,27.6,49,101,5.3,12,7.1,1.29,0.18,2700,72.01
7.1,27.3,95,106,5.8,14.4,6.7,0.84,0.22,3100,0.7
7,27.4,98,201,8.8,24,6.4,0.5,0.24,1200,69.34
6.8,27.5,97,206,12.4,33.6,5.7,0.73,0.22,39000,14.2
6.5,27.8,105,219,11.2,31.2,3.6,3.42,0.21,24000,3.63
6.4,27.9,110,199,18.2,45.6,2.2,0.67,0.17,26000,3.58
7.1,29,110,110,3.6,7.2,6.7,0.9,0.01,45,44.15
7.1,28,112,112,7.2,12,7.1,1.12,0.02,68,46.47
7,28.5,113,113,11.88,21.6,6.8,5.49,0.01,1200,18.64
7.2,28.5,123,123,2.04,4.8,6.9,3.14,0.04,810,20.2
7.2,28.5,109,109,23.66,40.8,6.7,17.81,0.08,11000,3.76
6.9,28.5,90,90,19.18,40.8,6,14.11,0.06,3300,67.63
7.1,28.5,81,81,9.6,19.2,5.4,2.8,0.02,1100,75.33
6.2,28.5,235,235,56.16,124.8,3.8,34.16,0.12,35000,3.09
5.9,29,350,350,62.95,146.4,0.12,36.96,0.1,37000,2.75
7.2,28.5,110,110,13.44,22.4,6.4,2.07,0.08,1100,44.02
7,29.8,112,112,11.26,17.6,6.7,1.18,0.01,2500,40.53
7.3,29,113,113,20.67,30.4,6.2,1.34,0.02,2400,16.76
7,30,123,123,17.02,30.4,6.5,0.9,0.06,3100,18.25
7,29.5,109,109,34.56,57.6,6.7,1.57,0.1,8100,0.13
6.4,28.9,90,90,29.16,64.8,6.2,1.46,0.12,7200,54.83
7.1,28.7,81,81,32.64,54.4,5.1,0.84,0.04,7000,56.13
